,Title,Actor,Metascore
609,White Girl,Brian Marc,65.0
610,White Girl,Justin Bartha,65.0
611,White Girl,Adrian Martinez,65.0
612,Sicario,Emily Blunt,82.0
613,Sicario,Josh Brolin,82.0
614,Sicario,Benicio Del Toro,82.0
615,Sicario,Jon Bernthal,82.0
616,Twin Peaks: The Missing Pieces,Chris Isaak,
617,Twin Peaks: The Missing Pieces,Kiefer Sutherland,
618,Twin Peaks: The Missing Pieces,C.H. Evans,
619,Twin Peaks: The Missing Pieces,Sandra Kinder,
620,Aliens vs Predator - Requiem,Reiko Aylesworth,29.0
621,Aliens vs Predator - Requiem,Steven Pasquale,29.0
622,Aliens vs Predator - Requiem,Shareeka Epps,29.0
623,Aliens vs Predator - Requiem,John Ortiz,29.0
624,Pacific Rim,Idris Elba,64.0
625,Pacific Rim,Charlie Hunnam,64.0
626,Pacific Rim,Rinko Kikuchi,64.0
627,Pacific Rim,Charlie Day,64.0
628,"Crazy, Stupid, Love.",Steve Carell,68.0
629,"Crazy, Stupid, Love.",Ryan Gosling,68.0
630,"Crazy, Stupid, Love.",Julianne Moore,68.0
631,"Crazy, Stupid, Love.",Emma Stone,68.0
632,Scott Pilgrim vs. the World,Michael Cera,69.0
633,Scott Pilgrim vs. the World,Mary Elizabeth Winstead,69.0
634,Scott Pilgrim vs. the World,Kieran Culkin,69.0
635,Scott Pilgrim vs. the World,Alison Pill,69.0
636,Hot Fuzz,Simon Pegg,81.0
637,Hot Fuzz,Nick Frost,81.0
638,Hot Fuzz,Martin Freeman,81.0
639,Hot Fuzz,Bill Nighy,81.0
640,Mine,Armie Hammer,40.0
641,Mine,Annabelle Wallis,40.0
642,Mine,Tom Cullen,40.0
643,Mine,Clint Dyer,40.0
644,Free Fire,Sharlto Copley,63.0
645,Free Fire,Brie Larson,63.0
646,Free Fire,Armie Hammer,63.0
647,Free Fire,Cillian Murphy,63.0
648,X-Men: Days of Future Past,Patrick Stewart,74.0
649,X-Men: Days of Future Past,Ian McKellen,74.0
650,X-Men: Days of Future Past,Hugh Jackman,74.0
651,X-Men: Days of Future Past,James McAvoy,74.0
652,Jack Reacher: Never Go Back,Tom Cruise,47.0
653,Jack Reacher: Never Go Back,Cobie Smulders,47.0
654,Jack Reacher: Never Go Back,Aldis Hodge,47.0
655,Jack Reacher: Never Go Back,Robert Knepper,47.0
656,Casino Royale,Daniel Craig,80.0
657,Casino Royale,Eva Green,80.0
658,Casino Royale,Judi Dench,80.0
659,Casino Royale,Jeffrey Wright,80.0
660,Twilight,Kristen Stewart,56.0
661,Twilight,Robert Pattinson,56.0
662,Twilight,Billy Burke,56.0
663,Twilight,Sarah Clarke,56.0
664,Now You See Me 2,Jesse Eisenberg,46.0
665,Now You See Me 2,Mark Ruffalo,46.0
666,Now You See Me 2,Woody Harrelson,46.0
667,Now You See Me 2,Dave Franco,46.0
668,Woman in Gold,Helen Mirren,51.0
669,Woman in Gold,Ryan Reynolds,51.0
670,Woman in Gold,Daniel Brühl,51.0
671,Woman in Gold,Katie Holmes,51.0
672,13 Hours,John Krasinski,48.0
673,13 Hours,Pablo Schreiber,48.0
674,13 Hours,James Badge Dale,48.0
675,13 Hours,David Denman,48.0
676,Spectre,Daniel Craig,60.0
677,Spectre,Christoph Waltz,60.0
678,Spectre,Léa Seydoux,60.0
679,Spectre,Ralph Fiennes,60.0
680,Nightcrawler,Jake Gyllenhaal,76.0
681,Nightcrawler,Rene Russo,76.0
682,Nightcrawler,Bill Paxton,76.0
683,Nightcrawler,Riz Ahmed,76.0
684,Kubo and the Two Strings,Charlize Theron,84.0
685,Kubo and the Two Strings,Art Parkinson,84.0
686,Kubo and the Two Strings,Matthew McConaughey,84.0
687,Kubo and the Two Strings,Ralph Fiennes,84.0
688,Beyond the Gates,Graham Skipper,59.0
689,Beyond the Gates,Chase Williamson,59.0
690,Beyond the Gates,Brea Grant,59.0
691,Beyond the Gates,Barbara Crampton,59.0
692,Her,Joaquin Phoenix,90.0
693,Her,Amy Adams,90.0
694,Her,Scarlett Johansson,90.0
695,Her,Rooney Mara,90.0
696,Frozen,Kristen Bell,74.0
697,Frozen,Idina Menzel,74.0
698,Frozen,Jonathan Groff,74.0
699,Frozen,Josh Gad,74.0
700,Tomorrowland,George Clooney,60.0
701,Tomorrowland,Britt Robertson,60.0
702,Tomorrowland,Hugh Laurie,60.0
703,Tomorrowland,Raffey Cassidy,60.0
704,Dawn of the Planet of the Apes,Gary Oldman,79.0
705,Dawn of the Planet of the Apes,Keri Russell,79.0
706,Dawn of the Planet of the Apes,Andy Serkis,79.0
707,Dawn of the Planet of the Apes,Kodi Smit-McPhee,79.0
708,Tropic Thunder,Ben Stiller,71.0
709,Tropic Thunder,Jack Black,71.0
710,Tropic Thunder,Robert Downey Jr.,71.0
711,Tropic Thunder,Jeff Kahn,71.0
712,The Conjuring 2,Vera Farmiga,65.0
713,The Conjuring 2,Patrick Wilson,65.0
714,The Conjuring 2,Madison Wolfe,65.0
715,The Conjuring 2,Frances O'Connor,65.0
716,Ant-Man,Paul Rudd,64.0
717,Ant-Man,Michael Douglas,64.0
718,Ant-Man,Corey Stoll,64.0
719,Ant-Man,Evangeline Lilly,64.0
720,Bridget Jones's Baby,Renée Zellweger,59.0
721,Bridget Jones's Baby,Gemma Jones,59.0
722,Bridget Jones's Baby,Jim Broadbent,59.0
723,Bridget Jones's Baby,Sally Phillips,59.0
724,The VVitch: A New-England Folktale,Anya Taylor-Joy,83.0
725,The VVitch: A New-England Folktale,Ralph Ineson,83.0
726,The VVitch: A New-England Folktale,Kate Dickie,83.0
727,The VVitch: A New-England Folktale,Julian Richings,83.0
728,Cinderella,Lily James,67.0
729,Cinderella,Cate Blanchett,67.0
730,Cinderella,Richard Madden,67.0
731,Cinderella,Helena Bonham Carter,67.0
732,Realive,Tom Hughes,
733,Realive,Charlotte Le Bon,
734,Realive,Oona Chaplin,
735,Realive,Barry Ward,
736,Forushande,Taraneh Alidoosti,85.0
737,Forushande,Shahab Hosseini,85.0
738,Forushande,Babak Karimi,85.0
739,Forushande,Farid Sajjadi Hosseini,85.0
740,Love,Aomi Muyock,51.0
741,Love,Karl Glusman,51.0
742,Love,Klara Kristin,51.0
743,Love,Juan Saavedra,51.0
744,Billy Lynn's Long Halftime Walk,Joe Alwyn,53.0
745,Billy Lynn's Long Halftime Walk,Garrett Hedlund,53.0
746,Billy Lynn's Long Halftime Walk,Arturo Castro,53.0
747,Billy Lynn's Long Halftime Walk,Mason Lee,53.0
748,Crimson Peak,Mia Wasikowska,66.0
749,Crimson Peak,Jessica Chastain,66.0
750,Crimson Peak,Tom Hiddleston,66.0
751,Crimson Peak,Charlie Hunnam,66.0
752,Drive,Ryan Gosling,78.0
753,Drive,Carey Mulligan,78.0
754,Drive,Bryan Cranston,78.0
755,Drive,Albert Brooks,78.0
756,Trainwreck,Amy Schumer,75.0
757,Trainwreck,Bill Hader,75.0
758,Trainwreck,Brie Larson,75.0
759,Trainwreck,Colin Quinn,75.0
760,The Light Between Oceans,Michael Fassbender,60.0
761,The Light Between Oceans,Alicia Vikander,60.0
762,The Light Between Oceans,Rachel Weisz,60.0
763,The Light Between Oceans,Florence Clery,60.0
764,Below Her Mouth,Erika Linder,42.0
765,Below Her Mouth,Natalie Krill,42.0
766,Below Her Mouth,Sebastian Pigott,42.0
767,Below Her Mouth,Mayko Nguyen,42.0
768,Spotlight,Mark Ruffalo,93.0
769,Spotlight,Michael Keaton,93.0
770,Spotlight,Rachel McAdams,93.0
771,Spotlight,Liev Schreiber,93.0
772,Morgan,Kate Mara,48.0
773,Morgan,Anya Taylor-Joy,48.0
774,Morgan,Rose Leslie,48.0
775,Morgan,Michael Yare,48.0
776,Warrior,Tom Hardy,71.0
777,Warrior,Nick Nolte,71.0
778,Warrior,Joel Edgerton,71.0
779,Warrior,Jennifer Morrison,71.0
780,Captain America: The First Avenger,Chris Evans,66.0
781,Captain America: The First Avenger,Hugo Weaving,66.0
782,Captain America: The First Avenger,Samuel L. Jackson,66.0
783,Captain America: The First Avenger,Hayley Atwell,66.0
784,Hacker,Callan McAuliffe,
785,Hacker,Lorraine Nicholson,
786,Hacker,Daniel Eric Gold,
787,Hacker,Clifton Collins Jr.,
788,Into the Wild,Emile Hirsch,73.0
789,Into the Wild,Vince Vaughn,73.0
790,Into the Wild,Catherine Keener,73.0
791,Into the Wild,Marcia Gay Harden,73.0
792,The Imitation Game,Benedict Cumberbatch,73.0
793,The Imitation Game,Keira Knightley,73.0
794,The Imitation Game,Matthew Goode,73.0
795,The Imitation Game,Allen Leech,73.0
796,Central Intelligence,Dwayne Johnson,52.0
797,Central Intelligence,Kevin Hart,52.0
798,Central Intelligence,Danielle Nicolet,52.0
799,Central Intelligence,Amy Ryan,52.0
800,Edge of Tomorrow,Tom Cruise,71.0
801,Edge of Tomorrow,Emily Blunt,71.0
802,Edge of Tomorrow,Bill Paxton,71.0
803,Edge of Tomorrow,Brendan Gleeson,71.0
804,A Cure for Wellness,Dane DeHaan,47.0
805,A Cure for Wellness,Jason Isaacs,47.0
806,A Cure for Wellness,Mia Goth,47.0
807,A Cure for Wellness,Ivo Nandi,47.0
808,Snowden,Joseph Gordon-Levitt,58.0
809,Snowden,Shailene Woodley,58.0
810,Snowden,Melissa Leo,58.0
811,Snowden,Zachary Quinto,58.0
812,Iron Man,Robert Downey Jr.,79.0
813,Iron Man,Gwyneth Paltrow,79.0
814,Iron Man,Terrence Howard,79.0
815,Iron Man,Jeff Bridges,79.0
816,Allegiant,Shailene Woodley,33.0
817,Allegiant,Theo James,33.0
818,Allegiant,Jeff Daniels,33.0
819,Allegiant,Naomi Watts,33.0
820,X: First Class,James McAvoy,65.0
821,X: First Class,Michael Fassbender,65.0
822,X: First Class,Jennifer Lawrence,65.0
823,X: First Class,Kevin Bacon,65.0
824,Raw (II),Garance Marillier,81.0
825,Raw (II),Ella Rumpf,81.0
826,Raw (II),Rabah Nait Oufella,81.0
827,Raw (II),Laurent Lucas,81.0
828,Paterson,Adam Driver,90.0
829,Paterson,Golshifteh Farahani,90.0
830,Paterson,Nellie,90.0
831,Paterson,Rizwan Manji,90.0
832,Bridesmaids,Kristen Wiig,75.0
833,Bridesmaids,Maya Rudolph,75.0
834,Bridesmaids,Rose Byrne,75.0
835,Bridesmaids,Terry Crews,75.0
836,The Girl with All the Gifts,Gemma Arterton,67.0
837,The Girl with All the Gifts,Glenn Close,67.0
838,The Girl with All the Gifts,Dominique Tipper,67.0
839,The Girl with All the Gifts,Paddy Considine,67.0
840,San Andreas,Dwayne Johnson,43.0
841,San Andreas,Carla Gugino,43.0
842,San Andreas,Alexandra Daddario,43.0
843,San Andreas,Colton Haynes,43.0
844,Spring Breakers,Vanessa Hudgens,63.0
845,Spring Breakers,Selena Gomez,63.0
846,Spring Breakers,Ashley Benson,63.0
847,Spring Breakers,Rachel Korine,63.0
848,Transformers,Shia LaBeouf,61.0
849,Transformers,Megan Fox,61.0
850,Transformers,Josh Duhamel,61.0
851,Transformers,Tyrese Gibson,61.0
852,Old Boy,Josh Brolin,49.0
853,Old Boy,Elizabeth Olsen,49.0
854,Old Boy,Samuel L. Jackson,49.0
855,Old Boy,Sharlto Copley,49.0
856,Thor: The Dark World,Chris Hemsworth,54.0
857,Thor: The Dark World,Natalie Portman,54.0
858,Thor: The Dark World,Tom Hiddleston,54.0
859,Thor: The Dark World,Stellan Skarsgård,54.0
860,Gods of Egypt,Brenton Thwaites,25.0
861,Gods of Egypt,Nikolaj Coster-Waldau,25.0
862,Gods of Egypt,Gerard Butler,25.0
863,Gods of Egypt,Chadwick Boseman,25.0
864,Captain America: The Winter Soldier,Chris Evans,70.0
865,Captain America: The Winter Soldier,Samuel L. Jackson,70.0
866,Captain America: The Winter Soldier,Scarlett Johansson,70.0
867,Captain America: The Winter Soldier,Robert Redford,70.0
868,Monster Trucks,Lucas Till,41.0
869,Monster Trucks,Jane Levy,41.0
870,Monster Trucks,Thomas Lennon,41.0
871,Monster Trucks,Barry Pepper,41.0
872,A Dark Song,Mark Huberman,67.0
873,A Dark Song,Susan Loughnane,67.0
874,A Dark Song,Steve Oram,67.0
875,A Dark Song,Catherine Walker,67.0
876,Kick-Ass,Aaron Taylor-Johnson,66.0
877,Kick-Ass,Nicolas Cage,66.0
878,Kick-Ass,Chloë Grace Moretz,66.0
879,Kick-Ass,Garrett M. Brown,66.0
880,Hardcore Henry,Sharlto Copley,51.0
881,Hardcore Henry,Tim Roth,51.0
882,Hardcore Henry,Haley Bennett,51.0
883,Hardcore Henry,Danila Kozlovsky,51.0
884,Cars,Owen Wilson,73.0
885,Cars,Bonnie Hunt,73.0
886,Cars,Paul Newman,73.0
887,Cars,Larry the Cable Guy,73.0
888,It Follows,Maika Monroe,83.0
889,It Follows,Keir Gilchrist,83.0
890,It Follows,Olivia Luccardi,83.0
891,It Follows,Lili Sepe,83.0
892,The Girl with the Dragon Tattoo,Daniel Craig,71.0
893,The Girl with the Dragon Tattoo,Rooney Mara,71.0
894,The Girl with the Dragon Tattoo,Christopher Plummer,71.0
895,The Girl with the Dragon Tattoo,Stellan Skarsgård,71.0
896,We're the Millers,Jason Sudeikis,44.0
897,We're the Millers,Jennifer Aniston,44.0
898,We're the Millers,Emma Roberts,44.0
899,We're the Millers,Ed Helms,44.0
900,American Honey,Sasha Lane,79.0
901,American Honey,Shia LaBeouf,79.0
902,American Honey,Riley Keough,79.0
903,American Honey,McCaul Lombardi,79.0
904,The Lobster,Colin Farrell,82.0
905,The Lobster,Rachel Weisz,82.0
906,The Lobster,Jessica Barden,82.0
907,The Lobster,Olivia Colman,82.0
908,Predators,Adrien Brody,51.0
909,Predators,Laurence Fishburne,51.0
910,Predators,Topher Grace,51.0
911,Predators,Alice Braga,51.0
912,Maleficent,Angelina Jolie,56.0
913,Maleficent,Elle Fanning,56.0
914,Maleficent,Sharlto Copley,56.0
915,Maleficent,Lesley Manville,56.0
916,Rupture,Noomi Rapace,35.0
917,Rupture,Michael Chiklis,35.0
918,Rupture,Kerry Bishé,35.0
919,Rupture,Peter Stormare,35.0
920,Pan's Labyrinth,Ivana Baquero,98.0
921,Pan's Labyrinth,Ariadna Gil,98.0
922,Pan's Labyrinth,Sergi López,98.0
923,Pan's Labyrinth,Maribel Verdú,98.0
924,A Kind of Murder,Patrick Wilson,50.0
925,A Kind of Murder,Jessica Biel,50.0
926,A Kind of Murder,Haley Bennett,50.0
927,A Kind of Murder,Vincent Kartheiser,50.0
928,Apocalypto,Gerardo Taracena,68.0
929,Apocalypto,Raoul Max Trujillo,68.0
930,Apocalypto,Dalia Hernández,68.0
931,Apocalypto,Rudy Youngblood,68.0
932,Mission: Impossible - Rogue Nation,Tom Cruise,75.0
933,Mission: Impossible - Rogue Nation,Rebecca Ferguson,75.0
934,Mission: Impossible - Rogue Nation,Jeremy Renner,75.0
935,Mission: Impossible - Rogue Nation,Simon Pegg,75.0
936,The Huntsman: Winter's War,Chris Hemsworth,35.0
937,The Huntsman: Winter's War,Jessica Chastain,35.0
938,The Huntsman: Winter's War,Charlize Theron,35.0
939,The Huntsman: Winter's War,Emily Blunt,35.0
940,The Perks of Being a Wallflower,Logan Lerman,67.0
941,The Perks of Being a Wallflower,Emma Watson,67.0
942,The Perks of Being a Wallflower,Ezra Miller,67.0
943,The Perks of Being a Wallflower,Paul Rudd,67.0
944,Jackie,Natalie Portman,81.0
945,Jackie,Peter Sarsgaard,81.0
946,Jackie,Greta Gerwig,81.0
947,Jackie,Billy Crudup,81.0
948,The Disappointments Room,Kate Beckinsale,31.0
949,The Disappointments Room,Mel Raido,31.0
950,The Disappointments Room,Duncan Joiner,31.0
951,The Disappointments Room,Lucas Till,31.0
952,The Grand Budapest Hotel,Ralph Fiennes,88.0
953,The Grand Budapest Hotel,F. Murray Abraham,88.0
954,The Grand Budapest Hotel,Mathieu Amalric,88.0
955,The Grand Budapest Hotel,Adrien Brody,88.0
956,The Host,Saoirse Ronan,35.0
957,The Host,Max Irons,35.0
958,The Host,Jake Abel,35.0
959,The Host,Diane Kruger,35.0
960,Fury,Brad Pitt,64.0
961,Fury,Shia LaBeouf,64.0
962,Fury,Logan Lerman,64.0
963,Fury,Michael Peña,64.0
964,Inside Out,Amy Poehler,94.0
965,Inside Out,Bill Hader,94.0
966,Inside Out,Lewis Black,94.0
967,Inside Out,Mindy Kaling,94.0
968,Rock Dog,Luke Wilson,48.0
969,Rock Dog,Eddie Izzard,48.0
970,Rock Dog,J.K. Simmons,48.0
971,Rock Dog,Lewis Black,48.0
972,Terminator Genisys,Arnold Schwarzenegger,38.0
973,Terminator Genisys,Jason Clarke,38.0
974,Terminator Genisys,Emilia Clarke,38.0
975,Terminator Genisys,Jai Courtney,38.0
976,Percy Jackson & the Olympians: The Lightning Thief,Logan Lerman,47.0
977,Percy Jackson & the Olympians: The Lightning Thief,Kevin McKidd,47.0
978,Percy Jackson & the Olympians: The Lightning Thief,Steve Coogan,47.0
979,Percy Jackson & the Olympians: The Lightning Thief,Brandon T. Jackson,47.0
980,Les Misérables,Hugh Jackman,63.0
981,Les Misérables,Russell Crowe,63.0
982,Les Misérables,Anne Hathaway,63.0
983,Les Misérables,Amanda Seyfried,63.0
984,Children of Men,Julianne Moore,84.0
985,Children of Men,Clive Owen,84.0
986,Children of Men,Chiwetel Ejiofor,84.0
987,Children of Men,Michael Caine,84.0
988,20th Century Women,Annette Bening,83.0
989,20th Century Women,Elle Fanning,83.0
990,20th Century Women,Greta Gerwig,83.0
991,20th Century Women,Billy Crudup,83.0
992,Spy,Melissa McCarthy,75.0
993,Spy,Rose Byrne,75.0
994,Spy,Jude Law,75.0
995,Spy,Jason Statham,75.0
996,The Intouchables,François Cluzet,57.0
997,The Intouchables,Omar Sy,57.0
998,The Intouchables,Anne Le Ny,57.0
999,The Intouchables,Audrey Fleurot,57.0
1000,Bonjour Anne,Diane Lane,50.0
1001,Bonjour Anne,Alec Baldwin,50.0
1002,Bonjour Anne,Arnaud Viard,50.0
1003,Bonjour Anne,Linda Gegusch,50.0
1004,Kynodontas,Christos Stergioglou,73.0
1005,Kynodontas,Michele Valley,73.0
1006,Kynodontas,Angeliki Papoulia,73.0
1007,Kynodontas,Hristos Passalis,73.0
1008,Straight Outta Compton,O'Shea Jackson Jr.,72.0
1009,Straight Outta Compton,Corey Hawkins,72.0
1010,Straight Outta Compton,Jason Mitchell,72.0
1011,Straight Outta Compton,Neil Brown Jr.,72.0
1012,The Amazing Spider-Man 2,Andrew Garfield,53.0
1013,The Amazing Spider-Man 2,Emma Stone,53.0
1014,The Amazing Spider-Man 2,Jamie Foxx,53.0
1015,The Amazing Spider-Man 2,Paul Giamatti,53.0
1016,The Conjuring,Patrick Wilson,68.0
1017,The Conjuring,Vera Farmiga,68.0
1018,The Conjuring,Ron Livingston,68.0
1019,The Conjuring,Lili Taylor,68.0
1020,The Hangover,Zach Galifianakis,73.0
1021,The Hangover,Bradley Cooper,73.0
1022,The Hangover,Justin Bartha,73.0
1023,The Hangover,Ed Helms,73.0
1024,Battleship,Alexander Skarsgård,41.0
1025,Battleship,Brooklyn Decker,41.0
1026,Battleship,Liam Neeson,41.0
1027,Battleship,Rihanna,41.0
1028,Rise of the Planet of the Apes,James Franco,68.0
1029,Rise of the Planet of the Apes,Andy Serkis,68.0
1030,Rise of the Planet of the Apes,Freida Pinto,68.0
1031,Rise of the Planet of the Apes,Karin Konoval,68.0
1032,Lights Out,Teresa Palmer,58.0
1033,Lights Out,Gabriel Bateman,58.0
1034,Lights Out,Maria Bello,58.0
1035,Lights Out,Billy Burke,58.0
1036,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Richard Gere,76.0
1037,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Lior Ashkenazi,76.0
1038,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Michael Sheen,76.0
1039,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Charlotte Gainsbourg,76.0
1040,Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton,88.0
1041,Birdman or (The Unexpected Virtue of Ignorance),Zach Galifianakis,88.0
1042,Birdman or (The Unexpected Virtue of Ignorance),Edward Norton,88.0
1043,Birdman or (The Unexpected Virtue of Ignorance),Andrea Riseborough,88.0
1044,Black Swan,Natalie Portman,79.0
1045,Black Swan,Mila Kunis,79.0
1046,Black Swan,Vincent Cassel,79.0
1047,Black Swan,Winona Ryder,79.0
1048,Dear White People,Tyler James Williams,79.0
1049,Dear White People,Tessa Thompson,79.0
1050,Dear White People,Kyle Gallner,79.0
1051,Dear White People,Teyonah Parris,79.0
1052,Nymphomaniac: Vol. I,Charlotte Gainsbourg,64.0
1053,Nymphomaniac: Vol. I,Stellan Skarsgård,64.0
1054,Nymphomaniac: Vol. I,Stacy Martin,64.0
1055,Nymphomaniac: Vol. I,Shia LaBeouf,64.0
1056,Teenage Mutant Ninja Turtles: Out of the Shadows,Megan Fox,40.0
1057,Teenage Mutant Ninja Turtles: Out of the Shadows,Will Arnett,40.0
1058,Teenage Mutant Ninja Turtles: Out of the Shadows,Tyler Perry,40.0
1059,Teenage Mutant Ninja Turtles: Out of the Shadows,Laura Linney,40.0
1060,Knock Knock,Keanu Reeves,53.0
1061,Knock Knock,Lorenza Izzo,53.0
1062,Knock Knock,Ana de Armas,53.0
1063,Knock Knock,Aaron Burns,53.0
1064,Dirty Grandpa,Robert De Niro,18.0
1065,Dirty Grandpa,Zac Efron,18.0
1066,Dirty Grandpa,Zoey Deutch,18.0
1067,Dirty Grandpa,Aubrey Plaza,18.0
1068,Cloud Atlas,Tom Hanks,55.0
1069,Cloud Atlas,Halle Berry,55.0
1070,Cloud Atlas,Hugh Grant,55.0
1071,Cloud Atlas,Hugo Weaving,55.0
1072,X-Men Origins: Wolverine,Hugh Jackman,40.0
1073,X-Men Origins: Wolverine,Liev Schreiber,40.0
1074,X-Men Origins: Wolverine,Ryan Reynolds,40.0
1075,X-Men Origins: Wolverine,Danny Huston,40.0
1076,Satanic,Sarah Hyland,
1077,Satanic,Steven Krueger,
1078,Satanic,Justin Chon,
1079,Satanic,Clara Mamet,
1080,Skyfall,Daniel Craig,81.0
1081,Skyfall,Javier Bardem,81.0
1082,Skyfall,Naomie Harris,81.0
1083,Skyfall,Judi Dench,81.0
1084,The Hobbit: An Unexpected Journey,Martin Freeman,58.0
1085,The Hobbit: An Unexpected Journey,Ian McKellen,58.0
1086,The Hobbit: An Unexpected Journey,Richard Armitage,58.0
1087,The Hobbit: An Unexpected Journey,Andy Serkis,58.0
1088,21 Jump Street,Jonah Hill,69.0
1089,21 Jump Street,Channing Tatum,69.0
1090,21 Jump Street,Ice Cube,69.0
1091,21 Jump Street,Brie Larson,69.0
1092,Sing Street,Ferdia Walsh-Peelo,79.0
1093,Sing Street,Aidan Gillen,79.0
1094,Sing Street,Maria Doyle Kennedy,79.0
1095,Sing Street,Jack Reynor,79.0
1096,Ballerina,Elle Fanning,
1097,Ballerina,Dane DeHaan,
1098,Ballerina,Carly Rae Jepsen,
1099,Ballerina,Maddie Ziegler,
1100,Oblivion,Tom Cruise,54.0
1101,Oblivion,Morgan Freeman,54.0
1102,Oblivion,Andrea Riseborough,54.0
1103,Oblivion,Olga Kurylenko,54.0
1104,22 Jump Street,Channing Tatum,71.0
1105,22 Jump Street,Jonah Hill,71.0
1106,22 Jump Street,Ice Cube,71.0
1107,22 Jump Street,Nick Offerman,71.0
1108,Zodiac,Jake Gyllenhaal,78.0
1109,Zodiac,Robert Downey Jr.,78.0
1110,Zodiac,Mark Ruffalo,78.0
1111,Zodiac,Anthony Edwards,78.0
1112,Everybody Wants Some!!,Blake Jenner,83.0
1113,Everybody Wants Some!!,Tyler Hoechlin,83.0
1114,Everybody Wants Some!!,Ryan Guzman,83.0
1115,Everybody Wants Some!!,Zoey Deutch,83.0
1116,Iron Man Three,Robert Downey Jr.,62.0
1117,Iron Man Three,Guy Pearce,62.0
1118,Iron Man Three,Gwyneth Paltrow,62.0
1119,Iron Man Three,Don Cheadle,62.0
1120,Now You See Me,Jesse Eisenberg,50.0
1121,Now You See Me,Common,50.0
1122,Now You See Me,Mark Ruffalo,50.0
1123,Now You See Me,Woody Harrelson,50.0
1124,Sherlock Holmes,Robert Downey Jr.,57.0
1125,Sherlock Holmes,Jude Law,57.0
1126,Sherlock Holmes,Rachel McAdams,57.0
1127,Sherlock Holmes,Mark Strong,57.0
1128,Death Proof,Kurt Russell,
1129,Death Proof,Zoë Bell,
1130,Death Proof,Rosario Dawson,
1131,Death Proof,Vanessa Ferlito,
1132,The Danish Girl,Eddie Redmayne,66.0
1133,The Danish Girl,Alicia Vikander,66.0
1134,The Danish Girl,Amber Heard,66.0
1135,The Danish Girl,Ben Whishaw,66.0
1136,Hercules,Dwayne Johnson,47.0
1137,Hercules,John Hurt,47.0
1138,Hercules,Ian McShane,47.0
1139,Hercules,Joseph Fiennes,47.0
1140,Sucker Punch,Emily Browning,33.0
1141,Sucker Punch,Vanessa Hudgens,33.0
1142,Sucker Punch,Abbie Cornish,33.0
1143,Sucker Punch,Jena Malone,33.0
1144,Keeping Up with the Joneses,Zach Galifianakis,34.0
1145,Keeping Up with the Joneses,Isla Fisher,34.0
1146,Keeping Up with the Joneses,Jon Hamm,34.0
1147,Keeping Up with the Joneses,Gal Gadot,34.0
1148,Jupiter Ascending,Channing Tatum,40.0
1149,Jupiter Ascending,Mila Kunis,40.0
1150,Jupiter Ascending,Eddie Redmayne,40.0
1151,Jupiter Ascending,Sean Bean,40.0
1152,Masterminds,Zach Galifianakis,47.0
1153,Masterminds,Kristen Wiig,47.0
1154,Masterminds,Owen Wilson,47.0
1155,Masterminds,Ross Kimball,47.0
1156,Iris,Romain Duris,
1157,Iris,Charlotte Le Bon,
1158,Iris,Jalil Lespert,
1159,Iris,Camille Cottin,
1160,Busanhaeng,Yoo Gong,72.0
1161,Busanhaeng,Soo-an Kim,72.0
1162,Busanhaeng,Yu-mi Jung,72.0
1163,Busanhaeng,Dong-seok Ma,72.0
1164,Pitch Perfect,Anna Kendrick,66.0
1165,Pitch Perfect,Brittany Snow,66.0
1166,Pitch Perfect,Rebel Wilson,66.0
1167,Pitch Perfect,Anna Camp,66.0
1168,Neighbors 2: Sorority Rising,Seth Rogen,58.0
1169,Neighbors 2: Sorority Rising,Rose Byrne,58.0
1170,Neighbors 2: Sorority Rising,Zac Efron,58.0
1171,Neighbors 2: Sorority Rising,Chloë Grace Moretz,58.0
1172,The Exception,Lily James,
1173,The Exception,Jai Courtney,
1174,The Exception,Christopher Plummer,
1175,The Exception,Loïs van Wijk,
1176,Man of Steel,Henry Cavill,55.0
1177,Man of Steel,Amy Adams,55.0
1178,Man of Steel,Michael Shannon,55.0
1179,Man of Steel,Diane Lane,55.0
1180,The Choice,Benjamin Walker,26.0
1181,The Choice,Teresa Palmer,26.0
1182,The Choice,Alexandra Daddario,26.0
1183,The Choice,Maggie Grace,26.0
1184,Ice Age: Collision Course,Ray Romano,34.0
1185,Ice Age: Collision Course,Denis Leary,34.0
1186,Ice Age: Collision Course,John Leguizamo,34.0
1187,Ice Age: Collision Course,Chris Wedge,34.0
1188,The Devil Wears Prada,Anne Hathaway,62.0
1189,The Devil Wears Prada,Meryl Streep,62.0
1190,The Devil Wears Prada,Adrian Grenier,62.0
1191,The Devil Wears Prada,Emily Blunt,62.0
1192,The Infiltrator,Bryan Cranston,66.0
1193,The Infiltrator,John Leguizamo,66.0
1194,The Infiltrator,Diane Kruger,66.0
1195,The Infiltrator,Amy Ryan,66.0
1196,There Will Be Blood,Daniel Day-Lewis,92.0
1197,There Will Be Blood,Paul Dano,92.0
1198,There Will Be Blood,Ciarán Hinds,92.0
1199,There Will Be Blood,Martin Stringer,92.0
