,Title,Director,Metascore
618,Mr. Right,Paco Cabezas,52.0
619,The Secret Life of Walter Mitty,Ben Stiller,54.0
620,Dope,Rick Famuyiwa,72.0
621,Underworld Awakening,Måns Mårlind,39.0
622,Antichrist,Lars von Trier,49.0
623,Friday the 13th,Marcus Nispel,34.0
624,Taken 3,Olivier Megaton,26.0
625,Total Recall,Len Wiseman,43.0
626,X-Men: The Last Stand,Brett Ratner,58.0
627,The Escort,Will Slocombe,46.0
628,The Whole Truth,Courtney Hunt,
629,Night at the Museum: Secret of the Tomb,Shawn Levy,47.0
630,Love & Other Drugs,Edward Zwick,55.0
631,The Interview,Evan Goldberg,52.0
632,The Host,Bong Joon Ho,85.0
633,Megan Is Missing,Michael Goi,94.0
634,WALL·E,Andrew Stanton,
635,Knocked Up,Judd Apatow,85.0
636,Source Code,Duncan Jones,74.0
637,Lawless,John Hillcoat,58.0
638,Unfriended,Levan Gabriadze,59.0
639,American Reunion,Jon Hurwitz,49.0
640,The Pursuit of Happyness,Gabriele Muccino,64.0
641,Relatos salvajes,Damián Szifron,77.0
642,The Ridiculous 6,Frank Coraci,18.0
643,Frantz,François Ozon,73.0
644,Viral,Henry Joost,72.0
645,Gran Torino,Clint Eastwood,
646,Burnt,John Wells,42.0
647,Tall Men,Jonathan Holbrook,57.0
648,Sleeping Beauty,Julia Leigh,
649,Vampire Academy,Mark Waters,30.0
650,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,83.0
651,Solace,Afonso Poyart,36.0
652,Insidious,James Wan,52.0
653,Popstar: Never Stop Never Stopping,Akiva Schaffer,68.0
654,The Levelling,Hope Dickson Leach,82.0
655,Public Enemies,Michael Mann,70.0
656,Boyhood,Richard Linklater,100.0
657,Teenage Mutant Ninja Turtles,Jonathan Liebesman,31.0
658,Eastern Promises,David Cronenberg,82.0
659,The Daughter,Simon Stone,62.0
660,Pineapple Express,David Gordon Green,64.0
661,The First Time,Jon Kasdan,55.0
662,Gone Baby Gone,Ben Affleck,72.0
663,The Heat,Paul Feig,60.0
664,L'avenir,Mia Hansen-Løve,88.0
665,Anna Karenina,Joe Wright,63.0
666,Regression,Alejandro Amenábar,32.0
667,Ted 2,Seth MacFarlane,48.0
668,Pain & Gain,Michael Bay,45.0
669,Blood Diamond,Edward Zwick,64.0
670,Devil's Knot,Atom Egoyan,42.0
671,Child 44,Daniel Espinosa,41.0
672,The Hurt Locker,Kathryn Bigelow,94.0
673,Green Lantern,Martin Campbell,39.0
674,War on Everyone,John Michael McDonagh,50.0
675,The Mist,Frank Darabont,58.0
676,Escape Plan,Mikael Håfström,49.0
677,"Love, Rosie",Christian Ditter,44.0
678,The DUFF,Ari Sandel,56.0
679,The Age of Shadows,Jee-woon Kim,78.0
680,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,64.0
681,We Need to Talk About Kevin,Lynne Ramsay,68.0
682,Love & Friendship,Whit Stillman,87.0
683,The Mortal Instruments: City of Bones,Harald Zwart,33.0
684,Seven Pounds,Gabriele Muccino,36.0
685,The King's Speech,Tom Hooper,88.0
686,Hunger,Steve McQueen,82.0
687,Jumper,Doug Liman,35.0
688,Toy Story 3,Lee Unkrich,92.0
689,Tinker Tailor Soldier Spy,Tomas Alfredson,85.0
690,Resident Evil: Retribution,Paul W.S. Anderson,39.0
691,Dear Zindagi,Gauri Shinde,56.0
692,Genius,Michael Grandage,
693,Pompeii,Paul W.S. Anderson,39.0
694,Life of Pi,Ang Lee,79.0
695,Hachi: A Dog's Tale,Lasse Hallström,61.0
696,10 Years,Jamie Linden,
697,I Origins,Mike Cahill,57.0
698,Live Free or Die Hard,Len Wiseman,69.0
699,The Matchbreaker,Caleb Vetter,44.0
700,Funny Games,Michael Haneke,
701,Ted,Seth MacFarlane,62.0
702,RED,Robert Schwentke,60.0
703,Australia,Baz Luhrmann,53.0
704,Faster,George Tillman Jr.,44.0
705,The Neighbor,Marcus Dunstan,60.0
706,The Adjustment Bureau,George Nolfi,
707,The Hollars,John Krasinski,53.0
708,The Judge,David Dobkin,48.0
709,Closed Circuit,John Crowley,50.0
710,Transformers: Revenge of the Fallen,Michael Bay,35.0
711,La tortue rouge,Michael Dudok de Wit,86.0
712,The Book of Life,Jorge R. Gutiérrez,67.0
713,Incendies,Denis Villeneuve,80.0
714,The Heartbreak Kid,Bobby Farrelly,46.0
715,Happy Feet,George Miller,77.0
716,Entourage,Doug Ellin,38.0
717,The Strangers,Bryan Bertino,47.0
718,Noah,Darren Aronofsky,68.0
719,Neighbors,Nicholas Stoller,68.0
720,Nymphomaniac: Vol. II,Lars von Trier,60.0
721,Wild,Jean-Marc Vallée,76.0
722,Grown Ups,Dennis Dugan,30.0
723,Blair Witch,Adam Wingard,47.0
724,The Karate Kid,Harald Zwart,61.0
725,Dark Shadows,Tim Burton,55.0
726,Friends with Benefits,Will Gluck,63.0
727,The Illusionist,Neil Burger,68.0
728,The A-Team,Joe Carnahan,47.0
729,The Guest,Adam Wingard,76.0
730,The Internship,Shawn Levy,42.0
731,Paul,Greg Mottola,57.0
732,This Beautiful Fantastic,Simon Aboud,51.0
733,The Da Vinci Code,Ron Howard,46.0
734,Mr. Church,Bruce Beresford,37.0
735,Hugo,Martin Scorsese,83.0
736,The Blackcoat's Daughter,Oz Perkins,68.0
737,Body of Lies,Ridley Scott,57.0
738,Knight of Cups,Terrence Malick,53.0
739,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,31.0
740,The Boss,Ben Falcone,40.0
741,Hands of Stone,Jonathan Jakubowicz,54.0
742,El secreto de sus ojos,Juan José Campanella,80.0
743,True Grit,Ethan Coen,80.0
744,We Are Your Friends,Max Joseph,46.0
745,A Million Ways to Die in the West,Seth MacFarlane,44.0
746,Only for One Night,Chris Stokes,60.0
747,Rules Don't Apply,Warren Beatty,
748,Ouija: Origin of Evil,Mike Flanagan,65.0
749,Percy Jackson: Sea of Monsters,Thor Freudenthal,39.0
750,Fracture,Gregory Hoblit,68.0
751,Oculus,Mike Flanagan,61.0
752,In Bruges,Martin McDonagh,67.0
753,This Means War,McG,31.0
754,Lída Baarová,Filip Renc,64.0
755,The Road,John Hillcoat,
756,Lavender,Ed Gass-Donnelly,46.0
757,Deuces,Jamal Hill,36.0
758,Conan the Barbarian,Marcus Nispel,
759,The Fighter,David O. Russell,79.0
760,August Rush,Kirsten Sheridan,38.0
761,Chef,Jon Favreau,68.0
762,Eye in the Sky,Gavin Hood,73.0
763,Eagle Eye,D.J. Caruso,43.0
764,The Purge,James DeMonaco,41.0
765,PK,Rajkumar Hirani,51.0
766,Ender's Game,Gavin Hood,
767,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,65.0
768,Paper Towns,Jake Schreier,56.0
769,High-Rise,Ben Wheatley,65.0
770,Quantum of Solace,Marc Forster,58.0
771,The Assignment,Walter Hill,34.0
772,How to Train Your Dragon,Dean DeBlois,74.0
773,Lady in the Water,M. Night Shyamalan,36.0
774,The Fountain,Darren Aronofsky,51.0
775,Cars 2,John Lasseter,57.0
776,31,Rob Zombie,35.0
777,Final Girl,Tyler Shields,56.0
778,Chalk It Up,Hisonni Johnson,
779,The Man Who Knew Infinity,Matt Brown,
780,Unknown,Jaume Collet-Serra,56.0
781,Self/less,Tarsem Singh,34.0
782,Mr. Brooks,Bruce A. Evans,45.0
783,Tramps,Adam Leon,77.0
784,Before We Go,Chris Evans,31.0
785,Captain Phillips,Paul Greengrass,83.0
786,The Secret Scripture,Jim Sheridan,37.0
787,Max Steel,Stewart Hendler,22.0
788,Hotel Transylvania 2,Genndy Tartakovsky,44.0
789,Hancock,Peter Berg,49.0
790,Sisters,Jason Moore,58.0
791,The Family,Luc Besson,42.0
792,Zack and Miri Make a Porno,Kevin Smith,56.0
793,Ma vie de Courgette,Claude Barras,85.0
794,Man on a Ledge,Asger Leth,40.0
795,No Strings Attached,Ivan Reitman,50.0
796,Rescue Dawn,Werner Herzog,77.0
797,Despicable Me 2,Pierre Coffin,62.0
798,A Walk Among the Tombstones,Scott Frank,57.0
799,The World's End,Edgar Wright,81.0
800,Yoga Hosers,Kevin Smith,23.0
801,Seven Psychopaths,Martin McDonagh,66.0
802,Beowulf,Robert Zemeckis,59.0
803,Jack Ryan: Shadow Recruit,Kenneth Branagh,57.0
804,1408,Mikael Håfström,64.0
805,The Gambler,Rupert Wyatt,55.0
806,Prince of Persia: The Sands of Time,Mike Newell,50.0
807,The Spectacular Now,James Ponsoldt,82.0
808,A United Kingdom,Amma Asante,65.0
809,USS Indianapolis: Men of Courage,Mario Van Peebles,30.0
810,Turbo Kid,François Simard,60.0
811,Mama,Andrés Muschietti,57.0
812,Orphan,Jaume Collet-Serra,42.0
813,To Rome with Love,Woody Allen,54.0
814,Fantastic Mr. Fox,Wes Anderson,83.0
815,Inside Man,Spike Lee,76.0
816,I.T.,John Moore,27.0
817,127 Hours,Danny Boyle,82.0
818,Annabelle,John R. Leonetti,37.0
819,Wolves at the Door,John R. Leonetti,63.0
820,Suite Française,Saul Dibb,
821,The Imaginarium of Doctor Parnassus,Terry Gilliam,65.0
822,G.I. Joe: The Rise of Cobra,Stephen Sommers,32.0
823,Christine,Antonio Campos,72.0
824,Man Down,Dito Montiel,27.0
825,Crawlspace,Phil Claydon,25.0
826,Shut In,Farren Blackburn,
827,The Warriors Gate,Matthias Hoene,77.0
828,Grindhouse,Robert Rodriguez,
829,Disaster Movie,Jason Friedberg,15.0
830,Rocky Balboa,Sylvester Stallone,63.0
831,Diary of a Wimpy Kid: Dog Days,David Bowers,54.0
832,Jane Eyre,Cary Joji Fukunaga,76.0
833,Fool's Gold,Andy Tennant,29.0
834,The Dictator,Larry Charles,58.0
835,The Loft,Erik Van Looy,24.0
836,Bacalaureat,Cristian Mungiu,84.0
837,You Don't Mess with the Zohan,Dennis Dugan,54.0
838,Exposed,Gee Malik Linton,23.0
839,Maudie,Aisling Walsh,60.0
840,Horrible Bosses 2,Sean Anders,40.0
841,A Bigger Splash,Luca Guadagnino,74.0
842,Melancholia,Lars von Trier,80.0
843,The Princess and the Frog,Ron Clements,73.0
844,Unstoppable,Tony Scott,69.0
845,Flight,Robert Zemeckis,76.0
846,Home,Tim Johnson,55.0
847,La migliore offerta,Giuseppe Tornatore,49.0
848,Mean Dreams,Nathan Morlando,64.0
849,42,Brian Helgeland,62.0
850,21,Robert Luketic,48.0
851,Begin Again,John Carney,62.0
852,Out of the Furnace,Scott Cooper,63.0
853,Vicky Cristina Barcelona,Woody Allen,70.0
854,Kung Fu Panda,Mark Osborne,73.0
855,Barbershop: The Next Cut,Malcolm D. Lee,67.0
856,Terminator Salvation,McG,49.0
857,Freedom Writers,Richard LaGravenese,64.0
858,The Hills Have Eyes,Alexandre Aja,52.0
859,Changeling,Clint Eastwood,63.0
860,Remember Me,Allen Coulter,40.0
861,Koe no katachi,Naoko Yamada,80.0
862,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,54.0
863,Locke,Steven Knight,81.0
864,The 9th Life of Louis Drax,Alexandre Aja,41.0
865,Horns,Alexandre Aja,46.0
866,Indignation,James Schamus,78.0
867,The Stanford Prison Experiment,Kyle Patrick Alvarez,67.0
868,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,51.0
869,Mission: Impossible III,J.J. Abrams,66.0
870,En man som heter Ove,Hannes Holm,70.0
871,Dragonball Evolution,James Wong,45.0
872,Red Dawn,Dan Bradley,31.0
873,One Day,Lone Scherfig,48.0
874,Life as We Know It,Greg Berlanti,39.0
875,28 Weeks Later,Juan Carlos Fresnadillo,78.0
876,Warm Bodies,Jonathan Levine,59.0
877,Blue Jasmine,Woody Allen,78.0
878,G.I. Joe: Retaliation,Jon M. Chu,41.0
879,Wrath of the Titans,Jonathan Liebesman,37.0
880,Shin Gojira,Hideaki Anno,68.0
881,Saving Mr. Banks,John Lee Hancock,65.0
882,Transcendence,Wally Pfister,42.0
883,Rio,Carlos Saldanha,63.0
884,Equals,Drake Doremus,43.0
885,Babel,Alejandro González Iñárritu,69.0
886,The Tree of Life,Terrence Malick,85.0
887,The Lucky One,Scott Hicks,39.0
888,Piranha 3D,Alexandre Aja,53.0
889,50/50,Jonathan Levine,72.0
890,The Intent,Femi Oyeniran,59.0
891,This Is 40,Judd Apatow,
892,Real Steel,Shawn Levy,56.0
893,Sex and the City,Michael Patrick King,53.0
894,Rambo,Sylvester Stallone,46.0
895,Planet Terror,Robert Rodriguez,55.0
896,Concussion,Peter Landesman,
897,The Fall,Tarsem Singh,64.0
898,The Ugly Truth,Robert Luketic,28.0
899,Bride Wars,Gary Winick,24.0
900,Sleeping with Other People,Leslye Headland,64.0
901,Snakes on a Plane,David R. Ellis,58.0
902,What If,Michael Dowse,59.0
903,How to Train Your Dragon 2,Dean DeBlois,76.0
904,RoboCop,José Padilha,52.0
905,In Dubious Battle,James Franco,43.0
906,"Hello, My Name Is Doris",Michael Showalter,63.0
907,Ocean's Thirteen,Steven Soderbergh,62.0
908,Slither,James Gunn,69.0
909,Contagion,Steven Soderbergh,70.0
910,Il racconto dei racconti - Tale of Tales,Matteo Garrone,72.0
911,I Am the Pretty Thing That Lives in the House,Oz Perkins,68.0
912,Bridge to Terabithia,Gabor Csupo,74.0
913,Coherence,James Ward Byrkit,65.0
914,Notorious,George Tillman Jr.,60.0
915,Goksung,Hong-jin Na,81.0
916,The Expendables 2,Simon West,51.0
917,The Girl Next Door,Gregory Wilson,29.0
918,Perfume: The Story of a Murderer,Tom Tykwer,56.0
919,The Golden Compass,Chris Weitz,51.0
920,Centurion,Neil Marshall,62.0
921,Scouts Guide to the Zombie Apocalypse,Christopher Landon,32.0
922,17 Again,Burr Steers,48.0
923,No Escape,John Erick Dowdle,38.0
924,Superman Returns,Bryan Singer,72.0
925,The Twilight Saga: Breaking Dawn - Part 1,Bill Condon,45.0
926,Precious,Lee Daniels,79.0
927,The Sea of Trees,Gus Van Sant,23.0
928,Good Kids,Chris McCoy,86.0
929,The Master,Paul Thomas Anderson,
930,Footloose,Craig Brewer,58.0
931,If I Stay,R.J. Cutler,46.0
932,The Ticket,Ido Fluk,52.0
933,Detour,Christopher Smith,46.0
934,The Love Witch,Anna Biller,82.0
935,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,66.0
936,The Human Centipede (First Sequence),Tom Six,33.0
937,Super,James Gunn,50.0
938,The Siege of Jadotville,Richie Smyth,83.0
939,Up in the Air,Jason Reitman,
940,The Midnight Meat Train,Ryûhei Kitamura,58.0
941,The Twilight Saga: Eclipse,David Slade,58.0
942,Transpecos,Greg Kwedar,73.0
943,What's Your Number?,Mark Mylod,35.0
944,Riddick,David Twohy,49.0
945,Triangle,Christopher Smith,66.0
946,The Butler,Lee Daniels,
947,King Cobra,Justin Kelly,48.0
948,After Earth,M. Night Shyamalan,33.0
949,Kicks,Justin Tipping,69.0
950,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,74.0
951,The Descendants,Alexander Payne,84.0
952,Sex and the City 2,Michael Patrick King,27.0
953,The Kings of Summer,Jordan Vogt-Roberts,61.0
954,Death Race,Paul W.S. Anderson,43.0
955,That Awkward Moment,Tom Gormican,36.0
956,Legion,Scott Stewart,32.0
957,End of Watch,David Ayer,68.0
958,3 Days to Kill,McG,40.0
959,Lucky Number Slevin,Paul McGuigan,53.0
960,Trance,Danny Boyle,61.0
961,Into the Forest,Patricia Rozema,59.0
962,The Other Boleyn Girl,Justin Chadwick,50.0
963,I Spit on Your Grave,Steven R. Monroe,27.0
964,Custody,James Lapine,72.0
965,Inland Empire,David Lynch,
966,L'odyssée,Jérôme Salle,70.0
967,The Walk,Robert Zemeckis,
968,Wrecker,Micheal Bafaro,37.0
969,The Lone Ranger,Gore Verbinski,
970,Texas Chainsaw 3D,John Luessenhop,62.0
971,Disturbia,D.J. Caruso,
972,Rock of Ages,Adam Shankman,47.0
973,Scream 4,Wes Craven,52.0
974,Queen of Katwe,Mira Nair,73.0
975,My Big Fat Greek Wedding 2,Kirk Jones,37.0
976,Dark Places,Gilles Paquet-Brenner,39.0
977,Amateur Night,Lisa Addario,38.0
978,It's Only the End of the World,Xavier Dolan,48.0
979,The Skin I Live In,Pedro Almodóvar,70.0
980,Miracles from Heaven,Patricia Riggen,44.0
981,Annie,Will Gluck,33.0
982,Across the Universe,Julie Taymor,56.0
983,Let's Be Cops,Luke Greenfield,30.0
984,Max,Boaz Yakin,47.0
985,Your Highness,David Gordon Green,31.0
986,Final Destination 5,Steven Quale,50.0
987,Endless Love,Shana Feste,30.0
988,Martyrs,Pascal Laugier,89.0
989,Selma,Ava DuVernay,
990,Underworld: Rise of the Lycans,Patrick Tatopoulos,44.0
991,Taare Zameen Par,Aamir Khan,42.0
992,Take Me Home Tonight,Michael Dowse,
993,Resident Evil: Afterlife,Paul W.S. Anderson,37.0
994,Project X,Nima Nourizadeh,48.0
995,Secret in Their Eyes,Billy Ray,45.0
996,Hostel: Part II,Eli Roth,46.0
997,Step Up 2: The Streets,Jon M. Chu,50.0
998,Search Party,Scot Armstrong,22.0
999,Nine Lives,Barry Sonnenfeld,11.0
